the	 	 	1644	1	0.06158918	 	0.06158918
and	 	 	872	2	0.03266774	 	0.06533548
to	 	 	729	3	0.02731053	 	0.08193159
a	 	 	632	4	0.02367662	 	0.09470648
she	 	 	541	5	0.02026749	 	0.10133745
it	 	 	530	6	0.01985539	 	0.11913234
of	 	 	514	7	0.01925598	 	0.13479186
said	 	 	462	8	0.01730791	 	0.13846328
i	 	 	410	9	0.01535983	 	0.13823847
alice	 	 	386	10	0.01446072	 	0.1446072
in	 	 	369	11	0.01382385	 	0.15206235
you	 	 	365	12	0.013674	 	0.164088
was	 	 	357	13	0.01337429	 	0.17386577
that	 	 	280	14	0.01048964	 	0.14685496
as	 	 	263	15	0.00985277	 	0.14779155
her	 	 	248	16	0.00929083	 	0.14865328
at	 	 	212	17	0.00794216	 	0.13501672
on	 	 	193	18	0.00723036	 	0.13014648
all	 	 	182	19	0.00681827	 	0.12954713
with	 	 	181	20	0.0067808	 	0.135616
had	 	 	178	21	0.00666841	 	0.14003661
but	 	 	170	22	0.00636871	 	0.14011162
for	 	 	153	23	0.00573184	 	0.13183232
so	 	 	151	24	0.00565691	 	0.13576584
be	 	 	148	25	0.00554452	 	0.138613
me	 	 	68	60	0.00254748	 	0.1528488
my	 	 	58	73	0.00217285	 	0.15861805
mock	 	 	56	80	0.00209793	 	0.1678344
much	 	 	51	93	0.00191061	 	0.17768673
more	 	 	49	98	0.00183569	 	0.17989762
must	 	 	44	108	0.00164837	 	0.17802396
mouse	 	 	43	110	0.00161091	 	0.1772001
march	 	 	34	132	0.00127374	 	0.16813368
made	 	 	30	152	0.00112389	 	0.17083128
moment	 	 	29	155	0.00108643	 	0.16839665
might	 	 	28	161	0.00104896	 	0.16888256
make	 	 	27	164	0.0010115	 	0.165886
minute	 	 	21	195	0.00078672	 	0.1534104
mad	 	 	15	245	0.00056195	 	0.13767775
may	 	 	13	286	0.00048702	 	0.13928772
many	 	 	12	315	0.00044956	 	0.1416114
majesty	 	 	12	319	0.00044956	 	0.14340964
mind	 	 	11	328	0.00041209	 	0.13516552
makes	 	 	11	345	0.00041209	 	0.14217105
minutes	 	 	11	349	0.00041209	 	0.14381941
mean	 	 	10	355	0.00037463	 	0.13299365
mine	 	 	10	356	0.00037463	 	0.13336828
mouth	 	 	10	357	0.00037463	 	0.13374291
matter	 	 	9	394	0.00033717	 	0.13284498
moral	 	 	8	425	0.0002997	 	0.1273725
Total number of words26693
Total number of unique words2632
